# owner	rule	subject	fingerprint	path
0x00432020	unstructured-control-flow	goto-count	5ec26f3099de	src/ModeSelect.cpp
0x004cbc90	unstructured-control-flow	goto-count	4c11133ca3eb	src/NGNLoader/ObjectLoad.cpp
0x0047b170	unstructured-control-flow	goto-count	af283beb99ab	src/RawLoader.cpp
0x00438a50	opaque-state-slot	startRecord->data[1]	29bb2dac2fd9	src/Toy2/LevelSelect.cpp
0x00438a50	opaque-state-slot	soundRecord->data[1]	58dbde0cf034	src/Toy2/LevelSelect.cpp
0x00438a50	opaque-state-slot	targetRecord->data[0]	277f94d56b17	src/Toy2/LevelSelect.cpp
0x00438a50	unstructured-control-flow	goto-count	8564fcf859bd	src/Toy2/LevelSelect.cpp
0x00452fc0	unstructured-control-flow	goto-count	9bbef2ba4b6b	src/Toy2/Levels.cpp
0x0049d910	unstructured-control-flow	goto-count	77dd5e8ddf01	src/Toy2/Toy2.cpp
src/Nu3D/Camera.cpp	repeated-private-type	Nu3D::SoftwareProjectionPoint	8cff9b180f19	src/Nu3D/Camera.cpp
src/Toy2/Actor.cpp	repeated-private-type	Toy2::BuzzLightPreset	87de3d82851d	src/Toy2/Actor.cpp
src/Toy2/BombsAway.cpp	repeated-private-type	Toy2::BuzzLightPreset	87de3d82851d	src/Toy2/BombsAway.cpp
src/Toy2/Buzz.cpp	repeated-private-type	Toy2::PackedCollisionFace	6b43e4b76eda	src/Toy2/Buzz.cpp
src/Toy2/Buzz.cpp	repeated-private-type	Toy2::CollisionTreeGroup	be32acf98857	src/Toy2/Buzz.cpp
src/Toy2/Buzz.cpp	repeated-private-type	Toy2::CollisionGridCell	946e283b0ef2	src/Toy2/Buzz.cpp
src/Toy2/Buzz.cpp	repeated-private-type	Toy2::CollisionStepMotion	78b8fbb997fc	src/Toy2/Buzz.cpp
src/Toy2/Buzz.cpp	repeated-private-type	Toy2::PoleRecord	459db3f4fef8	src/Toy2/Buzz.cpp
src/Toy2/Collision.cpp	repeated-private-type	Toy2::PackedCollisionFace	6b43e4b76eda	src/Toy2/Collision.cpp
src/Toy2/Collision.cpp	repeated-private-type	Toy2::CollisionTreeGroup	be32acf98857	src/Toy2/Collision.cpp
src/Toy2/Collision.cpp	repeated-private-type	Toy2::CollisionGridCell	946e283b0ef2	src/Toy2/Collision.cpp
src/Toy2/Collision.cpp	repeated-private-type	Toy2::CollisionStepMotion	78b8fbb997fc	src/Toy2/Collision.cpp
src/Toy2/Toy2.cpp	repeated-private-type	Nu3D::SoftwareProjectionPoint	8cff9b180f19	src/Toy2/Toy2.cpp
src/Toy2/Toy2.cpp	repeated-private-type	Toy2::PoleRecord	459db3f4fef8	src/Toy2/Toy2.cpp
